Test:46
BatchNo: /	
SampleNo: /	
Custom1: /	
Custom2: /	
Custom3: 11/4/2022	
Custom4: /	
Custom5: /	
Custom6: /	
Custom7: /	
Custom8: 9.99	
Custom9: 3.12	
Custom10: /	
Custom11: 31.169	
Custom12: 25.709	
Custom13: 2.2	
Custom14: 0.086	
Custom15: 2.14	
Custom16: 69	
Custom17: 3.35	
Custom18: 2.763	
Custom19: 2763	
Custom20: 0.000	
Custom21: 0.00	
Custom22: 0.000	
Custom23: 0.00	
Custom24: 1.67	
Custom25: 53.58	
Custom26: 1.47	
Custom27: 0.84	
Custom28: 2.07	
Custom29: 0.00	
Custom30: 66.41	
Custom31: /	
Custom32: /	
Custom33: /	
Custom34: /	
Custom35: /	
Custom36: /	
Custom37: /	
Custom38: /	
Custom39: /	
Custom40: /	

=========================Curve==========================
DataNumber:1092
Load		Extension Broadwise Extension	Displacement	Stress		Strain		Time
0.0078		0.0000		0.0000		0.0167		0.2503		0.0000		0.1000
0.0126		0.0012		0.0000		0.0251		0.4043		0.0024		0.2000
0.0178		0.0026		0.0000		0.0334		0.5711		0.0052		0.3000
0.0228		0.0040		0.0000		0.0418		0.7315		0.0080		0.4000
0.0276		0.0056		0.0000		0.0501		0.8855		0.0112		0.5000
0.0320		0.0070		0.0000		0.0585		1.0267		0.0140		0.6000
0.0364		0.0082		0.0000		0.0668		1.1678		0.0164		0.7000
0.0404		0.0096		0.0000		0.0749		1.2962		0.0192		0.8000
0.0448		0.0110		0.0000		0.0835		1.4373		0.0220		0.9000
0.0496		0.0122		0.0000		0.0919		1.5913		0.0244		1.0000
0.0544		0.0136		0.0000		0.1002		1.7453		0.0272		1.1000
0.0586		0.0148		0.0000		0.1086		1.8801		0.0296		1.2000
0.0626		0.0160		0.0000		0.1169		2.0084		0.0320		1.3000
0.0662		0.0172		0.0000		0.1250		2.1239		0.0344		1.4000
0.0698		0.0184		0.0000		0.1333		2.2394		0.0368		1.5000
0.0736		0.0196		0.0000		0.1417		2.3613		0.0392		1.6000
0.0778		0.0208		0.0000		0.1500		2.4961		0.0416		1.7000
0.0818		0.0220		0.0000		0.1587		2.6244		0.0440		1.8000
0.0858		0.0230		0.0000		0.1670		2.7528		0.0460		1.9000
0.0892		0.0242		0.0000		0.1751		2.8618		0.0484		2.0000
0.0928		0.0254		0.0000		0.1835		2.9773		0.0508		2.1000
0.0960		0.0264		0.0000		0.1918		3.0800		0.0528		2.2000
0.0998		0.0276		0.0000		0.2002		3.2019		0.0552		2.3000
0.1036		0.0286		0.0000		0.2085		3.3238		0.0572		2.4000
0.1076		0.0298		0.0000		0.2169		3.4522		0.0596		2.5000
0.1112		0.0308		0.0000		0.2252		3.5677		0.0616		2.6000
0.1146		0.0318		0.0000		0.2336		3.6768		0.0636		2.7000
0.1180		0.0328		0.0000		0.2419		3.7858		0.0656		2.8000
0.1212		0.0338		0.0000		0.2500		3.8885		0.0676		2.9000
0.1246		0.0350		0.0000		0.2583		3.9976		0.0700		3.0000
0.1284		0.0360		0.0000		0.2667		4.1195		0.0720		3.1000
0.1324		0.0370		0.0000		0.2753		4.2478		0.0740		3.2000
0.1360		0.0380		0.0000		0.2837		4.3633		0.0760		3.3000
0.1392		0.0390		0.0000		0.2920		4.4660		0.0780		3.4000
0.1426		0.0402		0.0000		0.3004		4.5751		0.0804		3.5000
0.1458		0.0412		0.0000		0.3087		4.6778		0.0824		3.6000
0.1496		0.0422		0.0000		0.3168		4.7997		0.0844		3.7000
0.1534		0.0434		0.0000		0.3252		4.9216		0.0868		3.8000
0.1572		0.0442		0.0000		0.3335		5.0435		0.0884		3.9000
0.1606		0.0452		0.0000		0.3421		5.1526		0.0904		4.0000
0.1644		0.0462		0.0000		0.3505		5.2745		0.0924		4.1000
0.1676		0.0468		0.0000		0.3588		5.3772		0.0936		4.2000
0.1710		0.0466		0.0000		0.3669		5.4863		0.0932		4.3000
0.1748		0.0472		0.0000		0.3753		5.6082		0.0944		4.4000
0.1788		0.0482		0.0000		0.3836		5.7365		0.0964		4.5000
0.1828		0.0492		0.0000		0.3920		5.8648		0.0984		4.6000
0.1864		0.0504		0.0000		0.4003		5.9803		0.1008		4.7000
0.1900		0.0514		0.0000		0.4087		6.0958		0.1028		4.8000
0.1934		0.0526		0.0000		0.4170		6.2049		0.1052		4.9000
0.1970		0.0536		0.0000		0.4254		6.3204		0.1072		5.0000
0.2010		0.0548		0.0000		0.4337		6.4488		0.1096		5.1000
0.2048		0.0558		0.0000		0.4418		6.5707		0.1116		5.2000
0.2086		0.0568		0.0000		0.4501		6.6926		0.1136		5.3000
0.2124		0.0578		0.0000		0.4585		6.8145		0.1156		5.4000
0.2164		0.0586		0.0000		0.4668		6.9428		0.1172		5.5000
0.2198		0.0596		0.0000		0.4755		7.0519		0.1192		5.6000
0.2234		0.0608		0.0000		0.4838		7.1674		0.1216		5.7000
0.2274		0.0618		0.0000		0.4922		7.2958		0.1236		5.8000
0.2316		0.0628		0.0000		0.5003		7.4305		0.1256		5.9000
0.2356		0.0638		0.0000		0.5086		7.5588		0.1276		6.0000
0.2394		0.0650		0.0000		0.5170		7.6808		0.1300		6.1000
0.2430		0.0660		0.0000		0.5253		7.7963		0.1320		6.2000
0.2468		0.0670		0.0000		0.5337		7.9182		0.1340		6.3000
0.2506		0.0680		0.0000		0.5420		8.0401		0.1360		6.4000
0.2544		0.0690		0.0000		0.5504		8.1620		0.1380		6.5000
0.2586		0.0702		0.0000		0.5587		8.2968		0.1404		6.6000
0.2630		0.0712		0.0000		0.5671		8.4379		0.1424		6.7000
0.2668		0.0724		0.0000		0.5751		8.5598		0.1448		6.8000
0.2704		0.0734		0.0000		0.5835		8.6753		0.1468		6.9000
0.2740		0.0746		0.0000		0.5918		8.7908		0.1492		7.0000
0.2778		0.0756		0.0000		0.6005		8.9128		0.1512		7.1000
0.2822		0.0766		0.0000		0.6088		9.0539		0.1532		7.2000
0.2862		0.0776		0.0000		0.6169		9.1823		0.1552		7.3000
0.2904		0.0788		0.0000		0.6255		9.3170		0.1576		7.4000
0.2942		0.0798		0.0000		0.6336		9.4389		0.1596		7.5000
0.2980		0.0810		0.0000		0.6420		9.5608		0.1620		7.6000
0.3016		0.0820		0.0000		0.6503		9.6763		0.1640		7.7000
0.3056		0.0832		0.0000		0.6587		9.8047		0.1664		7.8000
